,STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
76,       4336;19510318;-999;-999;-999;    5;   5.3;   1;-999;   0;   7.0;   9.6;    -999;    8.6;   82.00;   12.6;    6.4;    9.2;eor
77,       4336;19510319;-999;-999;-999;    5;   8.8;   1;-999;   0;   7.7;   8.9;    -999;    6.6;   87.00;   10.2;    4.2;    5.0;eor
78,       4336;19510320;-999;-999;-999;    5;   0.0;   0;-999;   0;   6.3;   5.3;    -999;    2.8;   70.00;    5.3;    0.9;    3.0;eor
79,       4336;19510321;-999;-999;-999;    5;   0.0;   0;-999;   0;   1.0;   4.1;    -999;    1.6;   60.00;    5.1;   -2.5;   -3.1;eor
80,       4336;19510322;-999;-999;-999;    5;   2.9;   8;-999;   0;   7.7;   5.7;    -999;    3.0;   75.00;    6.2;   -0.8;   -1.0;eor
81,       4336;19510323;-999;-999;-999;    5;   1.6;   1;-999;   0;   6.3;   8.5;    -999;   11.2;   67.00;   14.6;    3.8;    4.2;eor
82,       4336;19510324;-999;-999;-999;    5;   3.0;   8;-999;   0;   6.7;   6.4;    -999;    2.4;   86.00;   13.0;    0.2;    3.2;eor
83,       4336;19510325;-999;-999;-999;    5;   0.3;   7;-999;   2;   4.7;   5.2;    -999;    0.7;   81.00;    4.0;   -1.4;   -0.8;eor
84,       4336;19510326;-999;-999;-999;    5;   7.0;   8;-999;   2;   8.0;   6.0;    -999;    1.6;   89.00;    3.5;   -3.8;   -3.3;eor
85,       4336;19510327;-999;-999;-999;    5;  13.3;   1;-999;   1;   7.7;   7.6;    -999;    4.3;   89.00;    6.0;    3.3;    3.2;eor
86,       4336;19510328;-999;-999;-999;    5;   0.3;   7;-999;   0;   4.0;   5.2;    -999;    1.1;   79.00;    4.8;   -2.0;   -2.8;eor
87,       4336;19510329;-999;-999;-999;    5;   0.0;   7;-999;   0;   5.0;   5.3;    -999;    0.6;   85.00;    5.1;   -3.3;   -4.8;eor
88,       4336;19510330;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.3;   5.7;    -999;    4.1;   71.00;    7.1;   -2.1;   -2.8;eor
89,       4336;19510331;-999;-999;-999;    5;   0.7;   8;-999;   0;   6.3;   6.4;    -999;    2.4;   85.00;    4.9;    1.4;   -0.6;eor
90,       4336;19510401;-999;-999;-999;    5;   3.0;   1;-999;   0;   7.3;   7.5;    -999;    6.8;   79.00;    9.0;    0.5;    0.4;eor
91,       4336;19510402;-999;-999;-999;    5;   3.6;   1;-999;   0;   5.7;   7.7;    -999;    4.9;   87.00;    8.4;    3.7;    3.5;eor
92,       4336;19510403;-999;-999;-999;    5;   0.6;   1;-999;   0;   5.0;   7.2;    -999;    4.4;   86.00;    8.0;    0.8;    0.5;eor
93,       4336;19510404;-999;-999;-999;    5;   2.2;   1;-999;   0;   3.7;   6.7;    -999;    7.2;   68.00;   11.5;   -0.5;   -0.8;eor
94,       4336;19510405;-999;-999;-999;    5;   0.8;   1;-999;   0;   4.3;   8.8;    -999;    8.1;   82.00;   12.5;    4.6;    5.2;eor
95,       4336;19510406;-999;-999;-999;    5;   0.3;   1;-999;   0;   6.0;   9.3;    -999;    9.6;   80.00;   13.5;    1.9;    1.8;eor
96,       4336;19510407;-999;-999;-999;    5;  12.0;   1;-999;   0;   7.0;   9.9;    -999;    8.6;   83.00;   14.0;    5.5;    8.2;eor
97,       4336;19510408;-999;-999;-999;    5;   2.5;   1;-999;   0;   7.0;   6.8;    -999;    4.6;   80.00;    7.8;    0.9;    0.7;eor
98,       4336;19510409;-999;-999;-999;    5;  11.8;   1;-999;   0;   7.0;   7.7;    -999;    4.3;   93.00;    8.7;    2.0;    2.2;eor
99,       4336;19510410;-999;-999;-999;    5;   0.0;   0;-999;   0;   4.0;   6.4;    -999;    4.4;   75.00;    8.3;    2.5;    3.0;eor
100,       4336;19510411;-999;-999;-999;    5;   0.0;   0;-999;   0;   3.3;   6.3;    -999;    2.7;   83.00;    7.0;   -1.7;   -2.4;eor
101,       4336;19510412;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.0;   5.9;    -999;    5.2;   72.00;    9.9;   -3.0;   -2.6;eor
102,       4336;19510413;-999;-999;-999;    5;   1.7;   1;-999;   0;   7.0;   7.6;    -999;    7.2;   75.00;    9.5;    3.9;    2.7;eor
103,       4336;19510414;-999;-999;-999;    5;   2.5;   8;-999;   0;   4.0;   6.5;    -999;    3.4;   83.00;    8.0;    2.0;    3.5;eor
104,       4336;19510415;-999;-999;-999;    5;   0.0;   0;-999;   0;   1.0;   5.5;    -999;    5.1;   64.00;    9.3;   -2.1;   -3.2;eor
105,       4336;19510416;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.3;   6.8;    -999;   11.8;   51.00;   17.5;    1.4;    2.7;eor
106,       4336;19510417;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.3;   7.2;    -999;    9.0;   61.00;   14.1;    4.2;    4.0;eor
107,       4336;19510418;-999;-999;-999;    5;   0.0;   0;-999;   0;   6.3;   8.7;    -999;   10.6;   67.00;   15.6;    2.9;    3.0;eor
108,       4336;19510419;-999;-999;-999;    5;   0.0;   0;-999;   0;   3.7;  12.5;    -999;   14.1;   79.00;   19.2;    8.5;    8.2;eor
109,       4336;19510420;-999;-999;-999;    5;   1.2;   1;-999;   0;   7.0;   9.3;    -999;    6.9;   90.00;   13.6;    5.2;    6.9;eor
110,       4336;19510421;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.7;   6.7;    -999;    8.0;   61.00;   13.8;    2.6;    1.8;eor
111,       4336;19510422;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.0;   5.1;    -999;    7.2;   50.00;   12.1;    0.2;    0.4;eor
112,       4336;19510423;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.0;   7.2;    -999;   11.0;   51.00;   16.4;    2.0;    1.8;eor
113,       4336;19510424;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.0;   5.9;    -999;   13.0;   39.00;   19.0;    3.8;    2.8;eor
114,       4336;19510425;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.0;  10.8;    -999;   16.5;   58.00;   22.9;    6.9;    6.2;eor
115,       4336;19510426;-999;-999;-999;    5;   0.9;   1;-999;   0;   6.7;  11.5;    -999;   12.9;   76.00;   17.8;    9.2;    6.7;eor
